test_class_name,cycle_id,tests,failures,failures_%,time,timestamp,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
org/apache/commons/validator/ExtensionTest.java,f573cb3b22817eaad0c55e62f9c45f3f7157a8d5,8,0,0.0,0.054000000000000006,1562679298.6680262,1,1,1,1,26,5,13,7,1,0,4,11,11,11,1,11,0,0,2,9,363,78,158,60,129,127,129,143,60,83,2,2,2,1,1,0.8,12,12,12,11
org/apache/commons/validator/VarTest.java,f573cb3b22817eaad0c55e62f9c45f3f7157a8d5,1,0,0.0,0.011000000000000001,1562679298.685775,1,1,1,1,14,1,9,3,1,0,2,4,4,4,0,4,0,0,2,2,107,19,46,17,32,42,36,41,17,24,1,1,1,1,0,0.91,4,4,4,4
org/apache/commons/validator/EntityImportTest.java,f573cb3b22817eaad0c55e62f9c45f3f7157a8d5,2,0,0.0,0.013000000000000001,1562679298.698625,1,1,1,1,6,0,4,2,1,0,0,3,3,3,0,3,0,0,0,3,51,6,18,11,7,27,10,14,11,3,1,1,1,1,0,1.5,3,3,3,3
org/apache/commons/validator/ValidatorResultsTest.java,a155e51684164644e14fdc41a7418d9d7f52c794,2,0,0.0,0.015,1562679320.881352,1,1,1,1,12,1,6,4,1,0,4,9,9,9,3,9,0,4,2,3,161,31,69,29,43,61,49,59,29,30,1,1,1,1,0,0.88,9,9,9,9
org/apache/commons/validator/MultipleTest.java,a155e51684164644e14fdc41a7418d9d7f52c794,8,0,0.0,0.040999999999999995,1562679320.9068599,1,1,1,1,27,5,13,8,1,0,2,11,11,11,0,11,0,0,2,9,354,82,150,53,123,122,126,138,53,85,1,1,1,1,0,0.81,11,11,11,11
org/apache/commons/validator/ParameterTest.java,a155e51684164644e14fdc41a7418d9d7f52c794,1,0,0.0,0.008,1562679320.925969,1,1,1,1,11,1,7,3,1,0,1,6,6,6,3,6,0,2,2,2,115,19,56,20,33,40,34,42,19,23,2,2,2,1,1,0.71,7,7,7,6
org/apache/commons/validator/MultipleConfigFilesTest.java,a155e51684164644e14fdc41a7418d9d7f52c794,5,0,0.0,0.040999999999999995,1562679320.9405482,1,1,1,1,30,5,15,8,1,0,2,7,7,7,1,7,0,0,1,6,267,55,119,47,95,93,97,106,46,60,2,2,2,1,1,0.78,8,8,8,7
org/apache/commons/validator/RequiredIfTest.java,a155e51684164644e14fdc41a7418d9d7f52c794,5,0,0.0,0.031,1562679320.957778,1,1,1,1,23,4,12,6,1,0,2,8,8,8,0,8,0,0,2,6,236,50,103,39,82,83,85,94,39,55,1,1,1,1,0,0.81,8,8,8,8
org/apache/commons/validator/DateTest.java,a155e51684164644e14fdc41a7418d9d7f52c794,2,0,0.0,0.011000000000000001,1562679320.974733,1,1,1,1,12,1,5,5,1,0,0,5,5,5,2,5,0,0,2,3,111,19,36,17,20,56,24,30,17,13,3,3,3,1,0,1.56,7,7,7,5
org/apache/commons/validator/LocaleTest.java,a155e51684164644e14fdc41a7418d9d7f52c794,5,0,0.0,0.037000000000000005,1562679320.989203,1,1,1,1,17,1,8,7,1,0,2,9,9,9,0,9,0,1,2,6,201,27,82,33,45,92,43,56,26,30,4,4,4,1,1,1.12,12,12,12,9
